time,seconds_elapsed,z,y,x
1776444081849731800,0.06873193359375,-402.66571044921875,-203.0851593017578,-186.45652770996094
1776444081889861000,0.108861083984375,-402.29632568359375,-203.27767944335938,-186.67514038085938
1776444081929991000,0.148990966796875,-402.859130859375,-203.4281768798828,-186.53231811523438
1776444081970118100,0.1891181640625,-402.88677978515625,-203.73411560058594,-186.71609497070312
1776444082010251000,0.2292509765625,-403.49993896484375,-203.96278381347656,-186.34498596191406
1776444082050386200,0.26938623046875,-403.44940185546875,-204.22618103027344,-186.17527770996094
1776444082090520000,0.30952001953125,-403.63751220703125,-204.34938049316406,-185.99795532226562
1776444082130651100,0.349651123046875,-403.38397216796875,-205.17730712890625,-185.93028259277344
1776444082170782200,0.3897822265625,-404.22589111328125,-205.0316619873047,-186.3044891357422
1776444082210912300,0.429912353515625,-404.407958984375,-206.3533172607422,-186.36070251464844
1776444082251042000,0.4700419921875,-404.57366943359375,-206.53253173828125,-186.34951782226562
1776444082291174100,0.510174072265625,-404.74652099609375,-207.11737060546875,-186.141845703125
1776444082331308000,0.55030810546875,-404.87469482421875,-207.62893676757812,-185.89996337890625
1776444082371443200,0.590443115234375,-405.04827880859375,-208.36605834960938,-185.79104614257812
1776444082411576300,0.630576416015625,-405.019775390625,-207.64566040039062,-185.06472778320312
1776444082451709200,0.670709228515625,-403.8433532714844,-207.4913787841797,-184.36849975585938
1776444082491843300,0.71084326171875,-404.0566101074219,-207.17239379882812,-184.4158172607422
1776444082531975200,0.75097509765625,-403.67822265625,-207.21295166015625,-184.4383544921875
1776444082572108300,0.7911083984375,-404.1090087890625,-207.3529815673828,-184.79112243652344
1776444082612237300,0.8312373046875,-404.1458740234375,-207.22239685058594,-184.5610809326172
1776444082652364300,0.8713642578125,-403.3697509765625,-207.03036499023438,-184.77548217773438
1776444082692490000,0.911489990234375,-404.05255126953125,-206.82798767089844,-184.7681884765625
1776444082732617200,0.9516171875,-404.17840576171875,-206.91017150878906,-185.1427459716797
1776444082772745200,0.9917451171875,-404.0565185546875,-206.71592712402344,-185.32566833496094
1776444082812874000,1.0318740234375,-404.08880615234375,-206.79446411132812,-185.37864685058594
1776444082853001200,1.072001220703125,-404.074951171875,-207.0406951904297,-185.74342346191406
1776444082893127200,1.112127197265625,-404.6556701660156,-207.58450317382812,-185.71339416503906
1776444082933255200,1.152255126953125,-404.91424560546875,-208.2950897216797,-185.43124389648438
1776444082973380900,1.192380859375,-405.08941650390625,-209.30499267578125,-185.66769409179688
1776444083013505800,1.232505859375,-404.953369140625,-210.31748962402344,-185.2266845703125
1776444083053630700,1.272630615234375,-405.4332275390625,-211.2954864501953,-184.4793243408203
1776444083093753900,1.31275390625,-405.45452880859375,-212.98086547851562,-184.23341369628906
1776444083133877800,1.352877685546875,-405.6596374511719,-214.09323120117188,-184.12933349609375
1776444083174000600,1.393000732421875,-405.88385009765625,-215.09170532226562,-183.84422302246094
1776444083214123800,1.433123779296875,-405.6600341796875,-216.37632751464844,-183.24794006347656
1776444083254249000,1.4732490234375,-404.3273620605469,-217.5840606689453,-182.83447265625
1776444083294372900,1.513372802734375,-405.6085205078125,-218.76014709472656,-183.35015869140625
