time,seconds_elapsed,z,y,x
1776444516214968300,0.06996826171875,-404.55938720703125,-206.40330505371094,-186.99887084960938
1776444516255095000,0.110094970703125,-405.6077880859375,-206.57901000976562,-186.87002563476562
1776444516295220200,0.15022021484375,-404.79547119140625,-206.47271728515625,-186.6540985107422
1776444516335347200,0.19034716796875,-405.91864013671875,-206.75025939941406,-186.88465881347656
1776444516375475200,0.23047509765625,-405.8926086425781,-206.7603302001953,-186.7000274658203
1776444516415600000,0.27060009765625,-405.36749267578125,-206.79275512695312,-186.54762268066406
1776444516455725300,0.310725341796875,-405.46044921875,-207.18142700195312,-186.40147399902344
1776444516495850000,0.35085009765625,-405.43536376953125,-207.07769775390625,-186.2533416748047
1776444516535976200,0.39097607421875,-405.6285705566406,-207.37205505371094,-186.2134246826172
1776444516576102100,0.43110205078125,-405.48760986328125,-207.67245483398438,-185.94044494628906
1776444516616229000,0.47122900390625,-404.9974060058594,-207.301025390625,-185.8733367919922
1776444516656358000,0.51135791015625,-404.83795166015625,-206.99557495117188,-185.04066467285156
1776444516696485000,0.551485107421875,-404.17340087890625,-206.79066467285156,-183.5346221923828
1776444516736611000,0.591611083984375,-404.1334228515625,-206.44715881347656,-182.44383239746094
1776444516776737000,0.631737060546875,-403.12677001953125,-206.3930206298828,-180.74456787109375
1776444516816862200,0.6718623046875,-402.62384033203125,-207.31280517578125,-180.71421813964844
1776444516856988200,0.71198828125,-403.7628173828125,-208.1910858154297,-180.6560516357422
1776444516897118200,0.7521181640625,-403.07501220703125,-209.4685516357422,-180.7224578857422
1776444516937248000,0.792248046875,-404.3551330566406,-210.73983764648438,-180.967529296875
1776444516977372200,0.8323720703125,-403.881103515625,-212.06321716308594,-180.92819213867188
1776444517017496000,0.87249609375,-403.8135986328125,-213.07720947265625,-180.74429321289062
1776444517057621000,0.91262109375,-404.262939453125,-214.15626525878906,-181.2523956298828
1776444517097745200,0.9527451171875,-404.6153564453125,-216.73492431640625,-181.2823486328125
1776444517137873700,0.992873779296875,-405.05511474609375,-218.61378479003906,-181.63015747070312
1776444517178000600,1.033000732421875,-404.4508056640625,-221.04605102539062,-181.93212890625
1776444517218124500,1.07312451171875,-405.320556640625,-222.41629028320312,-183.1573486328125
1776444517258245600,1.11324560546875,-405.5883483886719,-223.92506408691406,-183.91986083984375
1776444517298371800,1.153371826171875,-404.744873046875,-225.3798828125,-184.14466857910156
1776444517338499800,1.193499755859375,-405.28179931640625,-226.69625854492188,-184.8531036376953
1776444517378632000,1.2336318359375,-405.3725891113281,-227.29200744628906,-185.46475219726562
1776444517418760700,1.2737607421875,-405.6622314453125,-227.88174438476562,-186.45899963378906
1776444517458888700,1.313888671875,-405.86541748046875,-228.46214294433594,-187.1864013671875
1776444517499020800,1.354020751953125,-405.38983154296875,-228.802490234375,-187.6002655029297
1776444517539152600,1.394152587890625,-405.9210205078125,-229.08322143554688,-187.98277282714844
1776444517579283700,1.43428369140625,-405.6115417480469,-229.8267822265625,-188.5311737060547
1776444517619412700,1.474412841796875,-405.61578369140625,-230.83480834960938,-188.9982147216797
1776444517659539700,1.514539794921875,-404.9380187988281,-231.62303161621094,-189.23158264160156
1776444517699667700,1.554667724609375,-405.5101318359375,-232.73687744140625,-190.91041564941406
1776444517739794700,1.594794677734375,-405.38555908203125,-233.5187225341797,-192.14013671875
1776444517779923700,1.634923828125,-405.50982666015625,-234.86257934570312,-193.19204711914062
1776444517820050700,1.67505078125,-405.86102294921875,-235.08566284179688,-194.8126983642578
1776444517860174600,1.715174560546875,-405.2588195800781,-235.56536865234375,-195.7218017578125
1776444517900299800,1.7552998046875,-405.0767822265625,-236.2100372314453,-196.50331115722656
1776444517940426800,1.7954267578125,-403.9653625488281,-237.24034118652344,-197.2966766357422
1776444517980554800,1.8355546875,-404.78131103515625,-238.26324462890625,-198.70291137695312
1776444518020682800,1.875682861328125,-403.992431640625,-239.46917724609375,-200.1785125732422
1776444518060810800,1.915810791015625,-403.1592712402344,-239.9149169921875,-201.71522521972656
1776444518100939800,1.955939697265625,-402.8247375488281,-239.6505126953125,-203.94476318359375
1776444518141065500,1.9960654296875,-402.9764099121094,-239.37535095214844,-206.91009521484375
1776444518181195500,2.036195556640625,-402.57965087890625,-238.8654327392578,-209.45648193359375
1776444518221324500,2.076324462890625,-402.1641845703125,-237.9957275390625,-211.08384704589844
1776444518261453300,2.116453369140625,-402.5029602050781,-236.8983917236328,-212.04248046875
1776444518301585400,2.15658544921875,-404.2579650878906,-235.46575927734375,-213.323486328125
1776444518341714700,2.196714599609375,-404.2313537597656,-233.6995086669922,-213.25242614746094
1776444518381844500,2.236844482421875,-404.49273681640625,-233.34768676757812,-214.1739044189453
1776444518421974500,2.276974609375,-404.25164794921875,-232.29849243164062,-215.18605041503906
1776444518462104600,2.3171044921875,-402.8887939453125,-231.5641326904297,-217.1961669921875
1776444518502236700,2.357236572265625,-403.21197509765625,-230.5445556640625,-218.64028930664062
1776444518542365400,2.397365478515625,-403.18048095703125,-230.3336639404297,-219.3889923095703
1776444518582498600,2.43749853515625,-402.5972595214844,-230.09840393066406,-220.17965698242188
1776444518622627600,2.477627685546875,-402.8311767578125,-230.00477600097656,-220.283935546875
1776444518662754600,2.517754638671875,-402.22467041015625,-229.7779998779297,-220.8882598876953
1776444518702884400,2.55788427734375,-402.0105895996094,-229.3904571533203,-221.89035034179688
1776444518743010600,2.598010498046875,-401.2215576171875,-228.7157440185547,-222.6046142578125
1776444518783136500,2.638136474609375,-401.43182373046875,-227.22731018066406,-223.77191162109375
1776444518823264500,2.678264404296875,-400.77264404296875,-226.3936767578125,-224.36444091796875
1776444518863392500,2.718392578125,-400.88824462890625,-225.49270629882812,-224.4241180419922
1776444518903523300,2.7585234375,-401.9134826660156,-225.16168212890625,-223.3379364013672
1776444518943650600,2.798650634765625,-402.62872314453125,-224.69509887695312,-222.83250427246094
1776444518983778600,2.838778564453125,-402.4571533203125,-224.55438232421875,-222.38206481933594
1776444519023908600,2.87890869140625,-403.227294921875,-223.52622985839844,-221.31373596191406
1776444519064037600,2.91903759765625,-404.07122802734375,-223.1293487548828,-220.34713745117188
1776444519104170500,2.95917041015625,-404.1483154296875,-222.5878448486328,-219.0501251220703
1776444519144305700,2.9993056640625,-404.82879638671875,-222.28749084472656,-218.64517211914062
