time,seconds_elapsed,z,y,x
1776442841825056800,0.086056884765625,-405.3585205078125,-207.7556915283203,-192.78001403808594
1776442841865184800,0.126184814453125,-405.9566955566406,-207.90383911132812,-192.1870880126953
1776442841905309700,0.166309814453125,-405.6851806640625,-208.5366668701172,-191.00071716308594
1776442841945436700,0.206436767578125,-405.8038330078125,-209.87237548828125,-188.94261169433594
1776442841985563000,0.24656298828125,-405.07672119140625,-211.5191650390625,-186.99635314941406
1776442842025691000,0.28669091796875,-405.23675537109375,-213.34439086914062,-185.1576385498047
1776442842065821700,0.32682177734375,-404.555908203125,-215.00868225097656,-183.03497314453125
1776442842105949700,0.36694970703125,-404.16851806640625,-216.2727508544922,-181.73858642578125
1776442842146077700,0.40707763671875,-403.05511474609375,-217.00355529785156,-180.2644805908203
1776442842186204700,0.44720458984375,-402.7937316894531,-217.18429565429688,-178.99169921875
1776442842226332700,0.487332763671875,-402.1920166015625,-217.16041564941406,-178.8520965576172
1776442842266458600,0.527458740234375,-402.38104248046875,-216.80213928222656,-179.1322784423828
1776442842306587600,0.567587646484375,-402.7954406738281,-216.57403564453125,-179.85777282714844
1776442842346718700,0.60771875,-404.2235107421875,-217.52169799804688,-181.6606903076172
1776442842386842600,0.647842529296875,-403.4087219238281,-218.264404296875,-181.75799560546875
1776442842426973700,0.6879736328125,-403.30474853515625,-220.1930694580078,-181.25482177734375
1776442842467106300,0.728106201171875,-402.34356689453125,-221.42935180664062,-179.81155395507812
1776442842507238400,0.76823828125,-402.2030029296875,-223.1419219970703,-179.46510314941406
1776442842547368200,0.8083681640625,-401.5989990234375,-224.36312866210938,-179.44509887695312
1776442842587497500,0.84849755859375,-402.38763427734375,-224.48231506347656,-180.01318359375
1776442842627627300,0.888627197265625,-402.92657470703125,-224.7408905029297,-180.4821014404297
1776442842667759400,0.92875927734375,-402.09912109375,-224.92401123046875,-180.9005126953125
1776442842707892500,0.968892578125,-402.7479553222656,-226.00827026367188,-181.42388916015625
1776442842748024600,1.009024658203125,-402.2657165527344,-226.47140502929688,-181.3334197998047
1776442842788155400,1.0491552734375,-402.9869384765625,-226.56451416015625,-181.9655303955078
1776442842828282400,1.089282470703125,-403.18658447265625,-226.90509033203125,-182.00546264648438
1776442842868413400,1.129413330078125,-402.8238220214844,-227.66998291015625,-182.8230743408203
1776442842908542500,1.16954248046875,-403.10345458984375,-228.50218200683594,-183.01046752929688
1776442842948671200,1.209671142578125,-402.4051513671875,-228.1271209716797,-184.21971130371094
1776442842988801500,1.249801513671875,-403.20513916015625,-228.92063903808594,-185.33668518066406
1776442843028931300,1.289931396484375,-403.674560546875,-228.98226928710938,-186.40028381347656
1776442843069059300,1.330059326171875,-403.8543701171875,-229.79248046875,-187.25677490234375
1776442843109185500,1.370185546875,-403.55401611328125,-231.68032836914062,-188.14097595214844
1776442843149314300,1.410314208984375,-402.5360412597656,-232.19615173339844,-187.58026123046875
1776442843189447400,1.450447509765625,-402.4803466796875,-233.08460998535156,-187.98873901367188
1776442843229580300,1.490580322265625,-402.85430908203125,-233.8661651611328,-188.5052490234375
1776442843269715200,1.530715087890625,-402.39105224609375,-233.43362426757812,-189.1669921875
1776442843309849600,1.570849609375,-402.759765625,-233.2560272216797,-190.2544708251953
1776442843349981200,1.610981201171875,-402.9980773925781,-233.9649658203125,-191.16847229003906
1776442843390113300,1.65111328125,-403.66265869140625,-233.0655975341797,-192.6370391845703
1776442843430241300,1.6912412109375,-403.4064636230469,-233.14891052246094,-193.37698364257812
1776442843470365700,1.73136572265625,-403.4420166015625,-233.4314422607422,-194.82431030273438
1776442843510492000,1.771491943359375,-403.8597717285156,-233.7142333984375,-195.3279266357422
1776442843550617900,1.811617919921875,-403.70379638671875,-233.66952514648438,-196.30909729003906
1776442843590745900,1.851745849609375,-404.1496887207031,-232.9746551513672,-197.14112854003906
1776442843630875000,1.891875,-404.1925048828125,-233.5466766357422,-197.0121307373047
1776442843671004000,1.93200390625,-404.6421203613281,-233.63136291503906,-198.0815887451172
1776442843711135700,1.9721357421875,-404.41217041015625,-233.5816650390625,-198.65316772460938
1776442843751266800,2.012266845703125,-403.81622314453125,-234.292236328125,-198.3502655029297
1776442843791395800,2.052395751953125,-403.6094970703125,-234.20654296875,-198.48980712890625
1776442843831526000,2.09252587890625,-403.66168212890625,-234.72763061523438,-198.1245880126953
1776442843871654000,2.13265380859375,-404.029296875,-233.98219299316406,-198.0068359375
1776442843911782700,2.17278271484375,-404.3974609375,-233.7695770263672,-198.6917266845703
1776442843951912000,2.212911865234375,-403.99688720703125,-233.79263305664062,-199.98162841796875
1776442843992038000,2.253037841796875,-404.0534362792969,-233.54623413085938,-202.05145263671875
1776442844032163800,2.293163818359375,-403.87109375,-233.8123016357422,-204.19619750976562
1776442844072291800,2.333291748046875,-403.313720703125,-233.89013671875,-203.4406280517578
1776442844112420900,2.3734208984375,-403.88751220703125,-234.1229705810547,-202.74876403808594
1776442844152547800,2.4135478515625,-403.9522705078125,-233.72247314453125,-201.67974853515625
1776442844192672800,2.4536728515625,-404.53204345703125,-233.01583862304688,-202.32249450683594
1776442844232801800,2.4938017578125,-404.60540771484375,-231.8643798828125,-202.7099151611328
1776442844272925000,2.533925048828125,-404.8999328613281,-231.03521728515625,-203.72940063476562
1776442844313049900,2.5740498046875,-404.72509765625,-230.95985412597656,-204.4397735595703
1776442844353177900,2.614177734375,-404.9084167480469,-229.80746459960938,-205.4147186279297
1776442844393309000,2.654308837890625,-404.2217712402344,-228.86361694335938,-207.9266357421875
1776442844433431800,2.694431884765625,-404.60968017578125,-228.6018829345703,-209.1470947265625
1776442844473555200,2.73455517578125,-404.4603271484375,-228.35482788085938,-209.19168090820312
1776442844513681000,2.774680908203125,-404.7152099609375,-228.50791931152344,-209.5452423095703
1776442844553807000,2.81480712890625,-404.2415466308594,-228.1894073486328,-209.73435974121094
1776442844593930000,2.854929931640625,-405.75775146484375,-227.64830017089844,-210.14932250976562
1776442844634056200,2.89505615234375,-405.517333984375,-227.3297576904297,-211.10707092285156
1776442844674178000,2.935177978515625,-405.0859375,-226.0716094970703,-211.98365783691406
1776442844714303000,2.975302978515625,-404.89447021484375,-225.52423095703125,-213.6554718017578
1776442844754426000,3.015426025390625,-404.2525634765625,-224.94737243652344,-214.8081512451172
1776442844794550000,3.055550048828125,-404.4332275390625,-224.4049835205078,-215.9989471435547
1776442844834675200,3.09567529296875,-404.1865234375,-223.93728637695312,-216.97190856933594
1776442844874802200,3.13580224609375,-403.7716369628906,-222.6504364013672,-217.55987548828125
1776442844914927900,3.175927978515625,-403.6695861816406,-221.45445251464844,-218.6847686767578
1776442844955051000,3.216051025390625,-403.5374755859375,-220.55776977539062,-219.0161590576172
1776442844995174000,3.256173828125,-403.5540466308594,-219.31878662109375,-219.12298583984375
1776442845035293200,3.296293212890625,-402.16375732421875,-219.9273223876953,-221.61009216308594
1776442845075418000,3.336418212890625,-401.6888732910156,-219.13169860839844,-222.6804962158203
1776442845115541000,3.376541015625,-401.4847412109375,-218.22959899902344,-221.93495178222656
1776442845155664000,3.416663818359375,-402.02667236328125,-216.90206909179688,-221.19244384765625
1776442845195787000,3.456787109375,-402.29052734375,-215.54347229003906,-220.9908447265625
1776442845235914000,3.4969140625,-402.88671875,-214.78948974609375,-220.98193359375
1776442845276042000,3.5370419921875,-403.2288818359375,-213.37777709960938,-219.59945678710938
1776442845316172000,3.577172119140625,-402.252197265625,-211.8523406982422,-219.63706970214844
1776442845356296000,3.6172958984375,-401.7088623046875,-210.57725524902344,-221.11221313476562
1776442845396424000,3.657423828125,-400.77423095703125,-207.889404296875,-221.35870361328125
1776442845436552000,3.697552001953125,-400.67254638671875,-206.3280029296875,-220.7701873779297
1776442845476682200,3.73768212890625,-401.1038513183594,-205.79269409179688,-220.04220581054688
1776442845516812000,3.77781201171875,-400.5287780761719,-205.06155395507812,-220.04379272460938
1776442845556939000,3.81793896484375,-400.870361328125,-203.68190002441406,-219.0006561279297
1776442845597063400,3.8580634765625,-400.33282470703125,-202.6119384765625,-218.51513671875
1776442845637191200,3.898191162109375,-400.85906982421875,-202.4221649169922,-218.00265502929688
1776442845677320200,3.9383203125,-399.9862060546875,-201.45394897460938,-217.62709045410156
1776442845717452300,3.978452392578125,-400.28277587890625,-200.26112365722656,-216.6890869140625
1776442845757583000,4.0185830078125,-400.76434326171875,-199.77456665039062,-215.5153350830078
1776442845797712100,4.058712158203125,-400.9229431152344,-199.37359619140625,-214.2857666015625
1776442845837839000,4.098839111328125,-400.5063781738281,-199.23130798339844,-213.6659698486328
1776442845877969200,4.13896923828125,-400.52850341796875,-198.41673278808594,-213.4613800048828
1776442845918099200,4.17909912109375,-400.37139892578125,-198.26983642578125,-212.5730743408203
1776442845958232000,4.219232177734375,-401.1214294433594,-198.7553253173828,-211.63986206054688
1776442845998365200,4.259365234375,-400.5689697265625,-198.27163696289062,-210.7136993408203
