time,seconds_elapsed,z,y,x
1776444516210860000,0.065860107421875,-1.03271484375,-0.051666259765625,0.0156707763671875
1776444516235879200,0.090879150390625,-1.036529541015625,-0.0491180419921875,-0.0242156982421875
1776444516260897300,0.115897216796875,-1.003387451171875,-0.036041259765625,-0.023712158203125
1776444516285916200,0.140916259765625,-0.987060546875,-0.0239715576171875,-0.0040435791015625
1776444516310934000,0.16593408203125,-0.9984588623046875,-0.0260772705078125,0.0166168212890625
1776444516335953000,0.190952880859375,-1.0157470703125,-0.0241851806640625,0.0055084228515625
1776444516360972300,0.21597216796875,-1.0107421875,-0.027923583984375,-0.0133819580078125
1776444516385990100,0.240990234375,-0.988861083984375,-0.0295562744140625,-0.0053558349609375
1776444516411009000,0.266009033203125,-0.979766845703125,-0.0264434814453125,-0.00048828125
1776444516436027100,0.291027099609375,-0.996917724609375,-0.0401611328125,0.0045623779296875
1776444516461046000,0.3160458984375,-0.98590087890625,-0.027313232421875,0.0240936279296875
1776444516486064000,0.341064208984375,-0.9896697998046875,-0.023773193359375,0.0118560791015625
1776444516511083000,0.3660830078125,-1.0189056396484375,-0.0178985595703125,0.018096923828125
1776444516536101000,0.39110107421875,-1.0101165771484375,-0.013671875,0.024993896484375
1776444516561120000,0.4161201171875,-0.9978179931640625,-0.019378662109375,0.001495361328125
1776444516586138000,0.44113818359375,-1.0107269287109375,-0.0260009765625,-0.0270538330078125
1776444516611157200,0.4661572265625,-1.023040771484375,-0.0548248291015625,-0.1057891845703125
1776444516636175000,0.491175048828125,-1.012237548828125,-0.05535888671875,-0.1551361083984375
1776444516661194000,0.516194091796875,-0.9825286865234375,-0.0304107666015625,-0.065155029296875
1776444516686212000,0.541212158203125,-0.9812164306640625,0.00140380859375,-0.033355712890625
1776444516711231000,0.56623095703125,-0.9893646240234375,0.00634765625,-0.0596923828125
1776444516736249000,0.5912490234375,-0.983978271484375,-0.0111083984375,0.1020355224609375
1776444516761268200,0.616268310546875,-0.9589691162109375,0.0380706787109375,0.1144866943359375
1776444516786286000,0.6412861328125,-0.9592437744140625,0.0555877685546875,0.11859130859375
1776444516811305000,0.666304931640625,-0.949798583984375,0.0685577392578125,0.12835693359375
1776444516836323000,0.691322998046875,-0.95587158203125,0.0552825927734375,0.127471923828125
1776444516861342200,0.71634228515625,-0.9490814208984375,0.0818023681640625,0.0993804931640625
1776444516886360000,0.741360107421875,-0.9488677978515625,0.1219024658203125,0.0703887939453125
1776444516911379200,0.766379150390625,-0.9640045166015625,0.134521484375,0.0707855224609375
1776444516936397000,0.79139697265625,-0.995819091796875,0.136627197265625,0.11077880859375
1776444516961416000,0.816416015625,-1.02008056640625,0.1020050048828125,0.1040191650390625
1776444516986434000,0.84143408203125,-1.022918701171875,0.1011505126953125,0.10321044921875
1776444517011453200,0.866453125,-1.0017242431640625,0.090606689453125,0.0956573486328125
1776444517036471000,0.891470947265625,-0.9693450927734375,0.10406494140625,0.07208251953125
1776444517061490200,0.916490234375,-0.95684814453125,0.1028594970703125,0.0801849365234375
1776444517086508000,0.941508056640625,-0.9370880126953125,0.117919921875,0.045654296875
1776444517111527200,0.966527099609375,-0.977294921875,0.092498779296875,0.0596771240234375
1776444517136544800,0.991544677734375,-1.0018768310546875,0.0708770751953125,0.0773162841796875
1776444517161562600,1.016562744140625,-1.019683837890625,-0.006683349609375,0.049835205078125
1776444517186581500,1.04158154296875,-1.0218658447265625,-0.0478668212890625,-0.0062713623046875
1776444517211600000,1.066599853515625,-1.0363006591796875,-0.0987548828125,-0.0034942626953125
1776444517236618800,1.09161865234375,-1.0273284912109375,-0.1240692138671875,-0.00048828125
1776444517261636600,1.11663671875,-1.0600738525390625,-0.1428680419921875,-0.0623931884765625
1776444517286655700,1.14165576171875,-1.101715087890625,-0.17352294921875,-0.1585540771484375
1776444517311673600,1.166673583984375,-1.065032958984375,-0.200408935546875,-0.2156982421875
1776444517336692700,1.191692626953125,-1.037017822265625,-0.2237548828125,-0.1902313232421875
1776444517361710800,1.2167109375,-1.0548248291015625,-0.2848052978515625,-0.102935791015625
1776444517386729700,1.241729736328125,-1.0214691162109375,-0.2257080078125,-0.1442413330078125
1776444517411747600,1.26674755859375,-0.983795166015625,-0.150848388671875,-0.1452178955078125
1776444517436766700,1.2917666015625,-1.0001983642578125,-0.1424560546875,-0.016357421875
1776444517461784600,1.31678466796875,-0.97930908203125,-0.1167449951171875,0.0340423583984375
1776444517486803700,1.3418037109375,-0.9557647705078125,-0.07794189453125,-0.007232666015625
1776444517511821800,1.36682177734375,-0.9315948486328125,-0.0029449462890625,0.06011962890625
1776444517536840700,1.3918408203125,-0.9150848388671875,0.016448974609375,0.1112518310546875
1776444517561858600,1.416858642578125,-0.936920166015625,0.054168701171875,0.0527191162109375
1776444517586877700,1.441877685546875,-0.9657745361328125,0.0564117431640625,0.091796875
1776444517611895800,1.466895751953125,-0.935211181640625,0.056793212890625,0.1510467529296875
1776444517636914700,1.491914794921875,-0.908294677734375,0.082672119140625,0.087921142578125
1776444517661932800,1.516932861328125,-0.975311279296875,0.0262603759765625,0.0194854736328125
1776444517686951700,1.54195166015625,-1.0717010498046875,-0.02490234375,0.063812255859375
1776444517711969500,1.566969482421875,-1.0278472900390625,-0.05712890625,0.1069793701171875
1776444517736988000,1.59198779296875,-0.990814208984375,-0.0194244384765625,0.00164794921875
1776444517762006800,1.6170068359375,-0.995635986328125,-0.0253143310546875,-0.04132080078125
1776444517787024600,1.642024658203125,-1.055755615234375,-0.1014556884765625,-0.038360595703125
1776444517812043800,1.667043701171875,-1.048553466796875,-0.1080474853515625,-0.04571533203125
1776444517837061600,1.6920615234375,-1.0051116943359375,-0.0445709228515625,-0.08331298828125
1776444517862080800,1.717080810546875,-0.9383392333984375,-0.1130523681640625,-0.2843475341796875
1776444517887099000,1.742098876953125,-0.9720306396484375,-0.10589599609375,-0.092437744140625
1776444517912117800,1.76711767578125,-0.9711151123046875,-0.0325469970703125,-0.221405029296875
1776444517937135600,1.792135498046875,-0.878997802734375,0.1000518798828125,-0.1202545166015625
1776444517962154800,1.81715478515625,-0.96148681640625,0.0082855224609375,-0.2407684326171875
1776444517987172600,1.842172607421875,-1.0058746337890625,-0.015625,-0.1582489013671875
1776444518012191700,1.867191650390625,-0.9359893798828125,-0.123321533203125,-0.185394287109375
1776444518037209900,1.8922099609375,-0.9261016845703125,-0.13519287109375,-0.189117431640625
1776444518062228700,1.917228759765625,-0.978973388671875,-0.268585205078125,-0.0915985107421875
1776444518087246600,1.94224658203125,-1.055389404296875,-0.53955078125,0.0033416748046875
1776444518112264700,1.9672646484375,-1.0811614990234375,-0.297576904296875,-0.1416015625
1776444518137280500,1.992280517578125,-1.0201263427734375,-0.33856201171875,-0.048187255859375
1776444518162298400,2.01729833984375,-0.998809814453125,-0.2344207763671875,-0.0424346923828125
1776444518187317500,2.0423173828125,-1.009368896484375,-0.110321044921875,0.0267791748046875
1776444518212335600,2.067335693359375,-1.02166748046875,-0.131134033203125,-0.0601348876953125
1776444518237354500,2.0923544921875,-1.05224609375,-0.19866943359375,-0.2335357666015625
1776444518262372600,2.11737255859375,-1.03857421875,-0.3128662109375,-0.299530029296875
1776444518287391500,2.1423916015625,-1.0515899658203125,-0.1902923583984375,-0.259918212890625
1776444518312409300,2.167409423828125,-0.9893798828125,-0.247711181640625,-0.1741943359375
1776444518337428500,2.192428466796875,-0.97216796875,-0.056976318359375,-0.10247802734375
1776444518362446600,2.217446533203125,-0.9438934326171875,0.0467376708984375,0.0561065673828125
1776444518387465500,2.242465576171875,-0.920623779296875,-0.071441650390625,0.1295166015625
1776444518412483300,2.2674833984375,-0.9771270751953125,-0.0255126953125,0.073150634765625
1776444518437501400,2.29250146484375,-0.9353179931640625,-0.1813201904296875,-0.02899169921875
1776444518462520600,2.3175205078125,-0.97418212890625,-0.1506805419921875,-0.1207427978515625
